PID/THRD         RELATIVE  ELAPSD    CPU SYSCALL(args) 		 = return
files were found:
/Users/sergeyantonov/Desktop/Epam/EpamPython2019/11-programming-and-debugging/hw/hw2/file1.txt

20699/0xb016c:      6409      14     12 stat64("/System/Library/Frameworks/CoreFoundation.framework/Versions/A/CoreFoundation\0", 0x7FFEE822D0A8, 0x0)		 = 0 0
20699/0xb016c:      6428      12      9 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/Python\0", 0x7FFEE822CC60, 0x0)		 = 0 0
20699/0xb016c:      6439      10      7 stat64("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/Python\0", 0x7FFEE822D0A8, 0x0)		 = 0 0
20699/0xb016c:      6471      33     30 open("/usr/local/Cellar/python/3.7.5/Frameworks/Python.framework/Versions/3.7/Python\0", 0x0, 0x0)		 = 3 0
dtrace: error on enabled probe ID 2201 (ID 465: syscall::pread:return): invalid kernel access in action #13 at DIF offset 20
20699/0xb016c:      6491       9      6 fcntl(0x3, 0x62, 0x7FFEE8224830)		 = 0 0
20699/0xb016c:      6503       8      6 fcntl(0x3, 0x65, 0x7FFEE82249F8)		 = 0 0
20699/0xb016c:      6581      98     77 mmap(0x1079DA000, 0x183000, 0x5, 0x12, 0x3, 0x0)		 = 0x1079DA000 0
20699/0xb016c:      6597      17     13 mmap(0x107B5D000, 0x3000, 0x3, 0x12, 0x3, 0x183000)		 = 0x107B5D000 0
20699/0xb016c:      6614      18     15 mmap(0x107B60000, 0x63000, 0x3, 0x12, 0x3, 0x186000)		 = 0x107B60000 0
20699/0xb016c:      6630      18     15 mmap(0x107BE3000, 0x57A84, 0x1, 0x12, 0x3, 0x1E9000)		 = 0x107BE3000 0
20699/0xb016c:      6639       5      2 fcntl(0x3, 0x32, 0x7FFEE8224AD0)		 = 0 0
20699/0xb016c:      6644       5      2 close(0x3)		 = 0 0
20699/0xb016c:      6664      15     12 stat64("/usr/lib/libSystem.B.dylib\0", 0x7FFEE822D0A8, 0x0)		 = 0 0
20699/0xb016c:      6678       8      6 stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFEE822CF68, 0x0)		 = 0 0
20699/0xb016c:      6690       8      6 stat64("/usr/lib/libfakelink.dylib\0", 0x7FFEE822CF68, 0x0)		 = 0 0
20699/0xb016c:      6700       8      5 stat64("/usr/lib/libDiagnosticMessagesClient.dylib\0", 0x7FFEE822CF68, 0x0)		 = 0 0
20699/0xb016c:      6709       7      5 stat64("/usr/lib/libicucore.A.dylib\0", 0x7FFEE822CF68, 0x0)		 = 0 0
20699/0xb016c:      6719       8      5 stat64("/usr/lib/libz.1.dylib\0", 0x7FFEE822CF68, 0x0)		 = 0 0
20699/0xb016c:      6729       8      5 stat64("/usr/lib/libc++abi.dylib\0", 0x7FFEE822CE68, 0x0)		 = 0 0
20699/0xb016c:      6738       8      5 stat64("/usr/lib/libc++.1.dylib\0", 0x7FFEE822CE68, 0x0)		 = 0 0
